label,text,is_valid
GREEN,"September 21st, 2021 This is a digital transformation project to put an automated front office in front of a consolidated cloud ERP solution.  Full CX stack implementation with elements of ERP Cloud and SCM. CPQ is in the pivot point for sales order management. This project brings CPQ, Commerce, Eloqua (campaign marketing), Content (OCM), and DataFox.",FALSE
GREEN,Had a couple of meeting with Waleed Hosny and ACS team.  This is looking like a TCP networking issue and not OGG.  Talked to ACS and copied support.  They need to just show that the networking issue is not OGG related. ,FALSE
AMBER,Had a meeting with Experian to review their bank customer configuration and since we were told that this client is very similar in terms of volumes and type of transactions with business partner we have recommended to mimic the OGG configuration of partner.  The following were recommended to implement for their bank customer migration:   Increase the number of CPU   Increase Memory   Increase SGA to have enough increase on the STREAMS POOL   Increase Streams Pool to 15GB   Use Eager_SIZE of 32000   Use APPLYNOOPUPDATE,FALSE
AMBER,"Per SR, the support engineer was able to fixed their Manager locking issue that they have experience, however in the course of fixing the issue support mentioned that they don't need checkpointtable option when adding integrated replicat and asked them to take it out from their process. Support also mentioned that their source database needs to be running on OGG 12c and not 19c since the database is running DB version 12c.",FALSE
GREEN,"Re-import completed and was able to re-start Replicat. Experienced performance issues after a day or so and after further investigations, it has been found that the system load was high anywhere from 80% to over 100% capacity of their CPU. As of 20210922, everything is caught up and per Dan they will try to schedule the migration cutover.",FALSE
GREEN,Request to help with review of migration plan.,FALSE
RED,Still No update to this. Still waiting on the environment. They will need to setup and ADB environment to test. There is no schedule. They have already gone through the exercise of creating a user with the appropriate permissions that will work for 99% of the customer base in autonomous.,FALSE
RED,EBR testing is in a hold pattern. It was determined that we are hitting bug 29970273. They are trying to determine how to get this patch installed. I updated the bug below.,FALSE
GREEN,"Downstream extract hanged while mining from standby redo logs after the mining db was upgraded to 19c. This worked and upon restart, after the recovery was complete extract was able to continue mining the SRLs just fine. For RCA, I have requested them to work with the ASM team.",FALSE
GREEN,"Issue resolved. The issue was related to missing archive logs. After restoring the missing archives for all the threads, the extract continued processing fine.",FALSE
GREEN,The session with the European ACS team went pretty well. Hope this session will somewhat restore their confidence in parallel replicat.,FALSE
AMBER,"Waiting for the SaaS team to run the workload using the suggested tuning parameters (to eliminate fragmentation and reduce ""fsync"" calls by reducing checkpoint frequency). I will keep this ticket open until they re-run the workload and post the numbers.",FALSE
AMBER,The team was supposed to work with the OCI network team to trace the source of the packet drop. But I haven't heard much about any progress so far.,FALSE
GREEN,Accomplishments:   Phil Ruhlman shared the email in the comment below. I have requested to attend the discussions to keep a pulse on things.  Upcoming Events:   General monitoring and providing feedback/guidance on their effort  Risks & Issues:   N/A,FALSE
GREEN,"21 Sep 2021: Module 3 Oracle to Oracle replication complete and submitted for peer review. Given the amount of information have decided to create an additional module specific for troubleshooting, will be Module 7. Began work on Module 4, heterogeneous replication (postgres to oracle).",FALSE
RED,15 Sept 2021: No response from customer regarding the transfer of knowledge meeting. Escalation manager is not pursuing the meeting (see comments for more details).,FALSE
AMBER,"Risk   Complex program and implementation architecture   Many projects in parallel and governance is required. This was one of the largest deals sold by UGBU, and currently BHE is in the process of planning the implementation. They have more questions and the pre-sales team is addressing them",FALSE
AMBER,Risk   Multiple implementation partners   customer IT & Business collaboration challenges; _IT is not involved in the sales cycle_   Re-engineering business processes could bring in complex customizations   Too many consuming applications 25+   Implementation looks like on-prem implementation.,FALSE
AMBER,"Extracting 30K records, implemented Flexfield security   Mentioned to them on custom BIP reports, and Oracle can't support / tune them. Suggested them to use BIP Audit / OTBI usage and explore using BICC for exporting data.  Next Steps   TBD  Risk   To be defined",FALSE
GREEN,06-Sep-2021  Progress   Reviewed general & technical answers for RFP and shared the feedback   Request to get A-Team support came from John Smith through Jane  Next Steps   None  Risk   None,FALSE
AMBER,Suggested them to try out Delete & Purge Inactive parties options and create a SR for large volume & validation with support   I will review these options & recommendation with Len and provide feedback to consultant next week,FALSE
AMBER,"GAP expectation on cloud is similar to on-prem especially around sizing, monitoring, environment management etc. GAP Raised concerns around these areas. Needs more education and hand-holding   Skills gap with SI and No PM from Infosys   Parallel Test Approach requires T2P and Gap got special approval; This need to be monitored and carefully done otherwise production go live will have issues   Complex integrations, reporting and IACS in scope, if not managed right, could derail the timelines.",FALSE
GREEN,"Major entities are ERP Financials Cloud entities such as Ledger, Payables and Assets.  Suggested them to discuss with their parent company, and explore the options. They need to plan for enterprise structures definition, business units etc, before getting any data migrated. Suggested them to get a SI involved  Next Steps   None  Risk   None currently, but I would recommend they need consulting / SI help to do this.",FALSE
AMBER,Customer has No Oracle SaaS. Real-time integrations with OIC orchestration will not provide best user experience for this kind of volume.  No business requirements   PaaS is the right option from ease of implementation & TCO for the customer with the requirements on-hand.,FALSE
GREEN,"September 7, 2021  Accomplishments   A-Team continue to work with HCM CoE to address all customer issues so that they can move forward with their implementation   Some of the reported issues are known and fixed in upcoming CWBs  Next Steps   Continue to work with customer to prep for pilot go-live coming up in September",FALSE
RED,OM Extensions design (Sync and heavy) proving to be cause of many of the Sales order Perf issues Network latency due to Deployment topology (SaaS Paas in sydney classic datacenter) adding to perf woes OTM instance is in Chicago and network introducing additional latency for OTM dependent flows and extensions SaaS instance cannot be migrated to OCI in Sydney until late 2021 due to hardware crunch,FALSE
AMBER,"It has been determined that the abends are related to storage issues.  several attempts to reconfigure the storage in-line with the document on using NFS with OGG but that still was having issue.  they are now using local storage, but are concerned about HA issues.  ",FALSE
AMBER,"Met with Daniel Herzig. Got a demo of metaphactory. Gave him info to get started with our DB.  DB setup on OCI for Metaphacs. Instructions created and sent to them. Demo class to show using the adapter created.  10-Feb-21 - Initial request from PM, environment identified and being set-up, A-Team to install & validate RDF4J on this Two bug fixes put into adapter. Metaphacts should be able to access this update now. Also worked two other issues that turned out to be problem on the Metaphacts end.",FALSE
GREEN,"Maurices has delayed their POC with us due to other priorities. Expect more from them soon. These are some of the best there are. We (Oracle team) think we can assist by providing oversight along the way, and getting them access to internal prod dev resources faster if they encounter problems.",FALSE
GREEN,"Outcome: Assist with ERP connectivity architecture.  Progress (8/5/21): Met with Nicole, the Oracle architect working with customer. I walked her through a draft deck that I'm working on, which pretty much answers all her questions. I've shared the deck with her and requested not to distribute. Attached to this ticket. (Network-Connectivity-patterns.pptx).  Next step: Put on hold and watch for follow-ups.  Risks: Customer might escalate for lack of a comprehensive understanding of connectivity options.",FALSE
AMBER,Have reviewed documentation of what they have done so far and made suggestions. 25AUG21: No updates in the last week. Sent a note asking if they got it working. ,FALSE
RED,Next steps to close (with planned dates)   initial communication started and will be discussed in a meeting on June 15 2021   during our regular call on June 22 we introduced the customers audience with a two-fold approach for further activities: short term to fix the most burning issues and long term to consider and re-implement an architecture 2.0,FALSE
AMBER,"No Update on this:  Bug 33235293, this is still being worked at by consulting.  There is code change required to make sure when the query result from the NFS catalog comes back to Logminer, it will not list any entry for the archived log that is already gone. However, this won't be an issue if the Extract keeps up with the current redo log, or at least won't request any archived log file that is older than 15 days old on ADB-S or 7 days old on ADB-D.    The workaround was to create links to the required archive logs. The customer dbas refused to do it. So now they will have to re-instantiate.",FALSE
AMBER,A summary of the key ask / piece of work   contacted the requester and had a detailed discussion via Zoom   there are two legal entities with DP World that must be added to the GSI - those were early implementations using their own environments   OCS will apparently do the functional setup manual to re-apply configuration from legacy instance   question is about importing data from legacy to GSI. Risks (technical or business)   non-supported objects by BICC   incomplete capabilities to load the data,FALSE
GREEN," 8-September-2021   A summary of the key ask / piece of work   We had an initial meeting with the Oracle team and the implementation partner Attido   we discussed a conduct of support from A-Team   attending regular weekly meetings with the CSM (Erika), Account Manager (Anssi) and Attido   partner is curious to have a quality and feasibility check on the current functional and technical design concepts   during our weekly calls we're going through various issues or questions partner Attido is having - some of them should be handled by OCS experts",FALSE
AMBER,"September 7, 2021  Accomplishments   M&S has adopted the SSO solution presented in blog and successfully implemented it in their own environment   This is the first customer who have implemented the SSO with MS-Teams based on the consulting solution proposed by A-Team blog   Customer has built on the basic framework to put in place security measures required by their corporate guidelines.  Next Steps   No update on Internal Jira tkt filed with IDCS Engg by HCM Engg - will keep monitoring",FALSE
GREEN,"September 7, 2021  Accomplishments   Customer selected as a participant for Gartner survey in ODA   Working with PhilR to initiate the dialog to CIO for survey participation   CIO is a happy camper for ODA4SaaS  Next Steps   Will continue to work with customer and Phil for completion of survey",FALSE
AMBER,"September 7, 2021  Accomplishments   No updates recently  Next Steps   Waiting to hear back from account team and customer to plan next steps",FALSE
AMBER,"September 7, 2021  Accomplishments   Continuing to monitor customer production environment and no issues encountered for last 3 weeks   Technical POCs identified within Deloitte for getting information on OIC flows. A-Team has started communications with Deloitte team on looking at specific critical integrations and awaiting details.  Next Steps   Attend weekly cadence calls and other internal calls to get the background and issue details   Continue to follow-up with Deloitte to find out more about design review for scheduled orchestrations",FALSE
GREEN,"September 7, 2021  Accomplishments:   No updates or activity reported from customer  Next Steps:   Stand by for any issues reported by customer",FALSE
GREEN,"September 7, 2021  Accomplishments:   Integration POC to address PDH and Retail integration for Item master completed successfully   No outstanding integration related issues raised for A-Team review  Next Steps:   Attend weekly and daily status calls and continue to work with the larger team and stay on top of current activities",FALSE
AMBER,"No CSM   Multi-pillar implementation & performance challenges - Internal collaboration will take longer   Renewal / Expansion risk - Customer mentioned they might want to loom at other vendors if POD is not resized.   Custom BIP reports with large SQL; needs optimization by customer. Business users not happy with UI performance, and we recommended the customer team to work with support on those.",FALSE
AMBER, Discussed the use of OCE for use as asset repository. OCE PMs have validated that it will work for customer's use case and have committed to provide full support in case enhancements are needed   Presented the proposed architecture to the customer and answered their questions  Next Steps:   Wait for the customer to respond  Risks:   The performance of OCE under the volume expected for customer. OCE has never been tested for such load.,FALSE
RED,Closing the ticket because there was no follow-up from neither customer nor the requester.,FALSE
GREEN,Met with customer and implementation partner on April 7th and offered guidance on migrating their public OAC instance to a private subnet.  05APR21: Customer has questions regarding OAC private endpoint regarding their current architecture. The account team does not know the current architecture and are trying to find out.,FALSE
GREEN,Customer requested our help explaining the internal heartbeat vs the old version. See comments for additional information.,FALSE
GREEN,Outcome: Assist Incentive Comp team with integration questions with customer and SI.  4/28/21  Progress:  Meeting scheduled with customer and SI on 4/28/21. This could be a large engagement.  Next steps:  Attend the meeting.,FALSE
AMBER,Reviewed customer architecture   Reviewed customer   Documented a set of initial recommendations   Asked a set of further questions and had responses   Finalized the recommendations  Presented the recommendations  Upcoming Events:   None  Risks:   The SI responsible for BAU is not responsive and all requests have to be escalated so they are answered  Desired Outcome:   Deliver Assessment Recommendation for Resiliciency,FALSE
GREEN,Outcome: Assist consultants with a proposal for the CBA / CFS Demerger - Codename Spark  Accomplishments  Delivered solution options forSingle Point of Entry Solution Fusion SaaS and OIC.  Risks / Issues -  Next steps  Awaiting final feedback on OIC traffic routing.,FALSE
GREEN,"Had an internal call with Oracle Sales Team for a follow-up on this issue and per team they had progress with the instantiation, however they have brought up a new issue which is performance on Replicat with a different database set migration.  So, will close this ticket now since the instantiation issue has been resolved and will open a new ticket for the new issue for that new set of database.",FALSE
AMBER,"Customer has again changed the requirement. It is now 1 second, or less, end-to-end latency; was originally 2.5 seconds.  Reviewed the data and the latency is in the IE again. Seeing subsecond capture latency in the heartbeat raw data; however, there are period where it goes over 1 second and a couple of times when it spiked to over 3 seconds. Am seeing Trail rolls every 60 seconds or less which correlate to the heartbeat timestamps where I see latency spike to over 1 second.",FALSE
GREEN,Reviewed SR information and provided feedback. IE is not configured properly for low latency capture of the customer workload. See comments for details.,FALSE
AMBER,"We could not step in immediately because of bandwidth constraints across team. The SR was resolved as well, on July 9th. .I have asked customer whether A-team needs to engage.  Next steps: TBD",FALSE
RED,"There is an internal political battle waging, of which I am staying out.  Customer is demanding a MOS Note or documentation stating that OGG-MA must be installed as the same OS user as XAG.  I raised the issue with XAG not being able to perform fail-over of the OGG-MA processes when OGG-MA is installed as a different OS user with MAA last week. MAA responded that ""it should work, but has not been tested"" and raised the issue with XAG Dev, who never responded. The issue was then escalated to OGG PM; who responded that the responsibility lies with MAA.",FALSE
AMBER,"Recommended they alter the PR to begin at RBA 0 on the first OGG Trail created by IE after the restart, perform the target import again, and then start PR with the ""nofilterdups"" option. This should get the target in sync with the source, and if not they will need to re-execute the target instantiation following the steps in their run-book to ensure it is done properly.",FALSE
GREEN,"Progress   Attend internal meeting with Sales team and SC team   Reviewed the MDM RFI requirements from Verizon (XL attached)   Provided my feedback:   Oracle has purpose-built data management strategy within FA, we don't recommend independent MDM solution; we are not competing in that space   RFI requirements seem to be created for the build option and may be for Informatica or IBM.   Sales team decided to have a meeting with Verizon to discuss than responding to RFI; EDM SC Drew Wilson, Bruce Hamman both felt that the RFI is not for Oracle solution",FALSE
RED,"Helped the team with HCM extracts design in OIC and run some extracts. I'll see if more involvement is warranted.  Next Steps:Put ticket on hold. Pointed them to existing resources on cloud customer connect, for HCM integration.   Recommended a ODI-marketplace based solution for HCM data imports into ADW.   OCS team requested continued guidance with HCM aspects of the integration.   Checked with HCM CoE on weather they want to pick up the HCM part, yet to hear.  Next Steps: Join planning calls.  Risks: Delivery risks/failure to meet ETA by OCS.",FALSE
GREEN,A summary of the key ask / piece of work   we had a first conversation with the requester Smith   just to set the correct expectations: from similar requests we know that there is nothing out of the box available as a solution   Smith and I were discussing the option to import/export data   Accomplishments   initial contact made   Next steps to close (with planned dates)   dive deeper into the specific requirements   Risks (technical or business)   no viable solution available   Agreed outcome   making suggestions to provide a solution for TAV,FALSE
RED,we ran various calls with the implementation partner InoApps to understand their issues   due to the very functional nature of the partners request we reached out to the ERP ACE team and involved them into our activities   Accomplishments   identification of the pain points from InoApps   gaining the commitment by ERP ACE team to support the partner and customer   guiding the partner to solve their issues by ERP ACE team   in moment no further A-Team support required as the customer postponed the implementation of ERP   Next steps to close (with planned dates)   introduce the customer in a call with the implementation details by the partner and ERP ACE team   Risks (technical or business)   no viable solution available   Agreed outcome   support the customer in everyone best interest ,FALSE
RED,"Informed requestor we could not approve in this case mostly due to the extraction, transformation and integration of a second source that OAC cannot connect to.",FALSE
GREEN,RCA done. Customer requested a session with me to discuss GG best practices. The meeting is scheduled for July 28th.,FALSE
GREEN,"A-Team immediately identified the cause of the data inconsistency issue was an improper instantiation of the target database. As soon as A-Team discussed and showed the correct way of instantiating the target, the problem was resolved.  However, as soon as the data consistency issue was resolved, another issue was raised after a few days, and this time Replicat was lagging, and it was lagging for a few hours.  After a series of investigation, analysis of different param, error and logfiles, and a series of troubleshooting via Zoom with other group such as Support, PM and Engineering, the lagging issue was resolved.  As of now, the customer is up and running and Extract and Replicat are caught up.",FALSE
AMBER,"Progress   Sent a note to Cynthia on next steps / action items for A-Team   Met with Cynthia and demonstrated the SOAP service   Discussed the options for transferring the ERP Customer account to different party   Asked Cynthia to identify the business requirement for the same, as this Customer Account move could create data integrity issues   Provided the details of the SOAP Service that could be tried out to transfer the customer account   Suggested potential options   CDM   Custom Object   PaaS   Merge options in CDM for customer data  Next Steps   Cynthia will reach out to sales team, and customer to schedule a meeting  Risk   Customer Account transfer option is not out-of-the-box option, It has to be done manually, could be automated using services but need to be throughly tested.",FALSE
AMBER,Outcome: Help sales team answer questions about connectivity to ERP cloud.  Progress (3/23/21):  Answered several questions by email. See comments for email thread.  Next steps:  Put on hold.  Risks:  Deal might be lost due to lack of clarity on these questions.,FALSE
GREEN,"Customer wants to proceed with no-IDCS or MFA solution for short-term, but want to consider IDCS-based MFA, for future.   A demo will be done for IDCS and non-IDCS scenarios on demo pod. Attended one architecture review meeting with customer.So customer will have to use commercial DC for their extension to SCM cloud.   Clarified questions about federation and user syn for supplier users and how to enforce MFA.",FALSE
GREEN,"Issue resolved as stated in comment. I'll keep the ticket open for a bit incase there are other asks from this account. We were on a call with customer, SI, 3rd party vendor and went through a process of elimination. The issue appeared to be with HelloSign service. The vendor came back and acknowledged the issue.  Next steps: Close issue.",FALSE
GREEN,Mike did initial review and found that support is handling correctly.  they are waiting for backport.,FALSE
GREEN,"Based on the SR and SLACK, it looks like Dev has been involved already and they seem to be working with Support on getting additional information to include in the bug. ",FALSE
RED,"This feature is on the roadmap but not currently planned for release. Unhappy customer, potential for sales impact.    Progress - 5/27/21  No activities yet. There was an internal call with Amy, Pravin and Deb, which supposedly is followed by a meeting with customer. The customer meeting has not materialized.",FALSE
GREEN, Resolution: Mani delegated to HCM CoE. Prasanna presented to customer along with Johannes. The deck final deck is attached.,FALSE
AMBER,Accomplishments   No Update from Abhijith.  Next Steps   Abhijith to check with TCS if they've considered HDL and get more info from TCS if help is still required.  Agreed outcome   Suggest an alternative bulk import option,FALSE
AMBER, Accomplishments   No Update from ACS.   ACS will test to evaluate which solution to test and develop according to the bank's requirements.  Next Steps   Oracle ACS to redesign the SOA composite.  Agreed outcome   Resolve the timeout / slow processing issue by redesigning the SOA composite.,FALSE
GREEN,"Client restarted their export/import with triggers disabled and was able to finished their migration. Per Dan Navarro from Experian (see attached email file Email_02.pdf) their migration ran was successful and ""everything looked good"".  Client will monitor especially when users start using the database and will reach out to support via SR if they encounter any issues.  Closing this ticket, will open a new one if new escalation comes up.",FALSE
AMBER,"Met with OCS team to understand their needs   RFP issued for HCM Divestiture, and OCS is short listed   Requested them to review A-Team's blog on divestiture   Suggested them to reach out to ASM's and understand the broader picture   Customer has provided six questions, and looking for answers, all questions are implementation focused. OCS will need to prepare. P2P is being positioned as a solution by OCS - P2P is not a standard process, and special approval is required. I suggested OCS team to reach out to HCM development and cloud ops",FALSE
GREEN,"Discussed the options of cloning, delete options, best practices and risks   Suggested them that they need to address data integrity, historical data, integrations, reporting and compliance   Participated and attended customer meeting with OCS and account team. Risk   None",FALSE
AMBER,"The transactions were not being split sufficiently (6 splits per trans). Also noticed in the report file that Trail switches were occurring every 13 seconds and some deprecated parameters were set. With these changes, received the following from the on-site consultants this morning:  _After changing the parameters on the Replicat, the performance improved._  Awaiting full set of reports to determine actual PR performance and if it was sufficient to meet the customer requirements.",FALSE
GREEN,"A-Team reviewed and provided feedback on the migration runbook and process that they have provided. Client will implement some of the recommendation that A-Team provided such as additional step to check open long transactions.  Client will reach out to Support if they experience any other issues, but in terms of review and recommendation of the process, this has been completed, so closing this engagement for now.  ",FALSE
GREEN,Nothing new nice customer's comments.,FALSE
AMBER,The test setup is complete. But we couldn't do much this week due to T-mobile escalation.,FALSE
RED,No word from the customer. I will keep this ticket open for 1 more week and then close if I don't hear anything from the customer.,FALSE
AMBER,"Progress   No activities, placing this on hold for 2 weeks prior to closing it   Week ending 06/18   BAY live in PaaS (June 1st week)   Meeting with Elio next week to discuss the next steps, potentially will be closing this Jira  Next Steps   None  Risk   Performance expectations is high, Multiple API's / flows are being used all in sequential, and gives initially 25+ seconds for end to end flow.  Agreed Outcome   A-Team to provide architectural guidance, help consultantants on specific technical asks on the performance testing.",FALSE
GREEN," After validating that extract was registered in the database, I had him check the SGA and Stream Pool memory. It was too low. He wasn't sure why that was changed.    Then he hit another issue when it looked like extract was hanging. Had him force the extract to stop. The extract was abending this time. It was missing an archive log.",FALSE
RED,This was escalated yesterday due to on-going issues setting up OGG-MA and customer dissatisfaction with Support and Consulting.  Participated in web conference with the customer and consulting. The root cause of all of the issues is a lack of OGG-MA knowledge with both the customer and Oracle consultant.,FALSE
GREEN,"Experian have opted to use Active Data Guard Standby Database for their migration effort instead of the Export/Import approach and for now, there's no GoldenGate issue. Client will just contact support if they need additional help with GoldenGate, will just leave this ticket for another week and if no further issue comes up will close this ticket. ",FALSE
AMBER,Next steps to close (with planned dates)   local account team to review alternate choices   team is making progress with an alternate solution and we can put the project on hold for a while   Risks (technical or business)   no optimal solution for data extraction available - neither IACSv2 nor BICC   Agreed outcome   no-go for IACS   support the team with the current data extraction implementation,FALSE
AMBER,DM is the new company; they are creating a repeatable process that can be reused for their next segment of their business. closed the additional instance subscription to support the divestiture readiness project. Customer will procure another contract for the go-live on their divestiture next quarter more likely. That deal will be like carve 30% of their existing contract and make it as a separate one. Risks   Cloning could bring in data security related challenges and unwanted data on the new company's instance   Implementation cost could have an impact on customer's decision  Agreed Outcome   A-Team to support the solution architecture review & participate on discussions on the technical options.,FALSE
AMBER,"DLR is implementing CPQ, SCM, and Subscription cloud   CDM initial phase is live, and they are working on another phase that will have high volume data. Working on providing the feedback   OCS has identified a resource to work with customer to estimate the CDM effort  Risk   Observed skills gap with DLR team, and PwC was the SI, and not engaged now.   Potential data issues could cause hierarchies to be governed; DLR need to plan   Multi-pillar implementation risk, as CDM is part of CX/TCA and customer program is large cloud transformation with multi-pillar applications & technology",FALSE
RED,I ran a test on our internal server. The idea was to test the insert statements that are taking a long time to complete in 11.2.0.4 when the system catalog size is large. Development team recommended upgrading the database from 11.2.0.4 as a lot of optimization and features were added in the later version of the database.  But the problem is customer is trying to use GoldenGate to migrate off to OCI and they have a lot of databases still running 11.2.0.4.  It seems there is nothing much we can do to speed up the extract registration process in 11.2.0.4 db.,FALSE
GREEN,"Engaged Dev who validated this is an OGG product limitation. Provided the following feedback to consultant:    So, there is a limitation in the product where only trandata for 64k tables can be returned. Dev is going to address, but will be in a later release.  This query should do the trick (if pdb must be executed in the container)",FALSE
RED, Two recommendations were given:  Use a timeout to protect OIC from waiting for too long from a slow outbound call.  Use a Rate Limiting Policy to protect the Backend from being overloaded.  The long term solution is to re-design their solution using asynchronous calls instead of lengthy synchronous calls. Customer/partner is not willing to entertain change in design for the short term.,FALSE
RED,"We are currently in monitoring mode and MAA ADG network team is still investigating and going through with WD's configuration and see if there's something that can cuase the log shipping delay.  Closing this ticket now since it's been over 3-4 weeks and no concrete progress from the RFS team with regards to tracing the issues, will just open a new issue if any new GoldenGate issue comes up. ",FALSE
RED,"A summary of the key ask / piece of work   we discussed the partner's requirements list   their app ""dataZap"" has to boost the ERP import programs which are partially custom   on an GSE environment it takes up to 60 min to load 22k records   this behavior was demo'ed by the partner in a session on April 23 2021   we concluded Oracle internally that we won't support any efforts to tune the GSE environments in terms of boosting the ERP import performance   Accomplishments   initial contact made   Next steps to close (with planned dates)   dive deeper into the tuning options and custom components   Risks (technical or business)   no viable solution available   Agreed outcome   support our partner with the performance tuning",FALSE
AMBER,Walked customer through the auth process step by step and helped them isolate the problem.   Customer came back and acknowledged that they got a PING version difference in the staging environment. They will address it and retest.  Next steps:   Put ticket on hold.  A-team will share findings from call and suggested diagnostic steps.  Risks:   Customer might not rollout mobile app to wider userbase in production.,FALSE
RED,"extract was not coming up. Took a few minutes to determine it was missing logs. Seems there was a long running transaction and extract was brought down for some reason. The archives were some how deleted. Extract went down again, this time due to a table with a LOB that exceeded the maximum OGG supported size. Archives were deleted again. They restored the archives again. They are trying to determine how these archives are being purged.",FALSE
AMBER,"Reviewed their divestiture approach   Shared A-Team blog on divestiture -  [How to Separate your Oracle Fusion Applications Cloud for divestiture? Next Steps   Oracle Team @ Mexico for Televisa will reach out to Naveen/Bala  Risk   P2P is being proposed, and will need approvals - Daniel mentioned he has the commitment from John   Purge/Delete may cause data integrity issue, and some modules won't have the functionality.",FALSE
GREEN," Preparation for this meeting included multiple sessions with sales and OCS to finalize a presentation. Most of the details are around AEP's on-premise pieces of the integration, but there were some OIC/CDM-related subtopics that need to be discussed with AEP. After this meeting I will be closing the ticket. Issues and recommendations to improve resiliency, reliability, and redundancy in the OIC/OEC (CDM) platform can be grouped into 3 areas.  CPU utilization was consistently reaching 95+%, GC was not completing, numerous stuck threads, stop the world events, heavy heap pressure. Working with CX DevOps, resizing the instance was approved and this has been scheduled (after AEP approval of the outage) for 25 June.",FALSE
AMBER, SR has been open since early March of this year. Met with the customer at the request of the account team. It is apparent the customer never followed the guidance given to them in the SR in March. Customer thinks the on-prem DB network has not been configured to allow access from PAC on port 1521 -- they will check,FALSE
AMBER,"Over fifty production target tables are missing data from 8 June. There are no report files with table count data, nor discard files from that date. At this point there is no way to determine what happened or if this is an OGG issue.  A full database export/import is being performed.",FALSE
AMBER,Loren has reviewed and suggested some patches and parallel replicat.  They have large and long running transcation and that may need to be addressed.   I've asked Mike to take a look at the SR's and give me some feedback before we get too involved.,FALSE
AMBER,Status 04/20    # EPM review conducted by EPM CoE team. Analysis and findings shared to customer.  # Waiting on Highmark to schedule meeting to review the tech design for the new project  ,FALSE
AMBER,"I'm working on through your suggestion first i.e. copying across the source database wallet.  But a bit more detail....  The databases are all open i.e. I don't have the status you suggested ""OPEN_NO_MASTER_KEY"", but your suggestion makes a lot of sense as the wallets are different.  I'll let you know how that goes. I didn't expect to get such variety on my trip round this!",FALSE
GREEN,Reviewing the Groovy code.,FALSE
AMBER,Batch delete for a table with no keys was the root cause of the slow performance. It seems the table was not even needed for replication. Recommended to restart the replicat after taking out the table from the replication stream.,FALSE
AMBER,"When Sourav and I were working with them yesterday IR had abended several times because discard filled. No one was concerned when I told them there are data issues in the 8 TB target. They are also still seeing the ""broken pipe"" messages in IR, which means no one has addressed the sqlnet connectivity problems yet.  I'll monitor the SR and if Support asks for our assistance shall step up.",FALSE
AMBER,"DB seems to be the bottleneck based on AWR analysis. Typically, when log file sync (foreground commit wait) and Log file parallel write(background LGWR wait) both show up pretty high, it usually indicates a slow I/O subsystem for redo/archive writes. But when we looked at the AWR report LGWR was taking half millisecond to write each block (512 b). While half millisecond number apparently looks good for a write latency, but ultimately it all depends on the rate of inflow vs outflow.",FALSE
RED,No word from the cloud ops team after the extract came back up. Cloud ops would work with the transport layer dev team to get the diagnostic patch installed. This will ensure more verbose information is logged next time the RFS client gets disabled. Closing this ticket for now.,FALSE
